n,time(ms)
1,0.0025420449674129486
2,0.003125052899122238
4,0.013916054740548134
8,0.04133302718400955
16,0.271541066467762
32,8.464208105579019
64,11.896332958713174
128,100.98824999295175
256,858.7204997893423
512,7060.187374940142
1,0.0020421575754880905
2,0.0032919924706220627
4,0.01516612246632576
8,0.042665982618927956
16,0.2191250678151846
32,1.5559159219264984
64,11.359625030308962
128,100.27320799417794
256,802.4187909904867
512,7049.240542110056
1,0.0020829029381275177
2,0.003917142748832703
4,0.013750046491622925
8,0.04133302718400955
16,0.23095891810953617
32,1.512208953499794
64,11.384041979908943
128,94.74108391441405
256,794.4872081279755
512,7003.644458018243
