type,n,time(ms)
Naive,4,0.23030000738799572
Classic,4,0.039100064896047115
Naive,4,0.2058000536635518
Classic,4,0.03290001768618822
Naive,4,0.33400009851902723
Classic,4,0.0295999925583601
Naive,4,0.224500079639256
Classic,4,0.04569999873638153
Strassen,4,0.6707999855279922
Naive,8,1.1133999796584249
Classic,8,0.15659991186112165
Strassen,8,1.69339997228235
Naive,4,0.2343000378459692
Classic,4,0.04069996066391468
Strassen,4,0.5703999195247889
Naive,8,1.4752000570297241
Classic,8,0.17600005958229303
Strassen,8,2.309700008481741
